,season,holiday,workingday,weathersit,temp,atemp,hum,windspeed,hr,mnth,yr,prediction
12830,3,0,0,1,0.8,0.697,0.27,0.194,19,6,1,360.0
8688,1,1,0,1,0.24,0.2273,0.41,0.2239,20,1,1,103.0
7091,4,0,1,1,0.32,0.303,0.66,0.2836,2,10,0,9.0
12230,2,0,1,1,0.78,0.7121,0.52,0.3582,19,5,1,492.0
431,1,0,1,1,0.26,0.2273,0.56,0.3881,0,1,0,16.0
1086,1,0,1,1,0.44,0.4394,0.72,0.2836,0,2,0,29.0
11605,2,0,1,1,0.72,0.6667,0.58,0.1343,18,5,1,704.0
7983,4,0,0,1,0.26,0.303,0.87,0.0,7,12,0,21.0
10391,1,0,1,1,0.5,0.4848,0.68,0.194,2,3,1,4.0
7046,4,0,1,1,0.42,0.4242,0.71,0.2239,5,10,0,27.0
17355,1,0,1,1,0.18,0.1818,0.55,0.194,0,12,1,29.0
11369,2,0,1,1,0.32,0.3182,0.76,0.194,22,4,1,97.0
12659,2,0,0,2,0.72,0.6515,0.37,0.1045,16,6,1,642.0
12695,2,0,1,2,0.54,0.5152,0.77,0.194,4,6,1,6.0
6147,3,0,0,2,0.56,0.5303,0.64,0.194,17,9,0,359.0
1838,2,0,1,2,0.4,0.4091,0.58,0.2985,8,3,0,272.0
217,1,0,1,2,0.12,0.1212,0.5,0.2836,8,1,0,154.0
16651,4,0,0,2,0.36,0.3788,0.71,0.0,14,12,1,338.0
15025,4,0,0,1,0.44,0.4394,0.62,0.2537,6,9,1,37.0
11940,2,0,1,1,0.66,0.6212,0.31,0.1343,17,5,1,812.0
621,1,0,0,1,0.2,0.2121,0.64,0.1343,3,1,0,12.0
14209,3,0,1,2,0.6,0.5758,0.78,0.1343,6,8,1,151.0
19,1,0,0,3,0.42,0.4242,0.88,0.2537,19,1,0,35.0
4836,3,0,1,1,0.82,0.803,0.59,0.0,10,7,0,109.0
8262,4,0,1,1,0.52,0.5,0.63,0.3284,22,12,0,113.0
15721,4,0,1,1,0.36,0.3636,0.76,0.0896,6,10,1,116.0
